,time,device_id,current,failure,humidity,load,pressure,rpm,temperature,vibration,wear
0,2026-08-13T08:54:27.354064+00:00,motor_000,15.35,0,44.0,0.558,6.02,2143.0,59.94,0.63,0.0001
1,2026-08-13T08:54:28.644359+00:00,motor_000,15.55,0,49.7,0.539,6.09,2151.0,58.6,0.52,0.0003
2,2026-08-13T08:54:29.659000+00:00,motor_000,14.02,0,45.0,0.54,5.98,2170.0,58.83,0.58,0.0004
3,2026-08-13T08:54:30.673773+00:00,motor_000,14.93,0,46.0,0.541,5.91,2178.0,58.44,0.51,0.0005
4,2026-08-13T08:54:31.678822+00:00,motor_000,14.79,0,39.9,0.542,6.04,2154.0,59.65,0.61,0.0007
5,2026-08-13T08:54:32.682500+00:00,motor_000,14.7,0,44.5,0.553,5.97,2140.0,59.92,0.57,0.0008
6,2026-08-13T08:54:33.704096+00:00,motor_000,15.31,0,50.8,0.534,5.97,2149.0,58.13,0.53,0.0009
7,2026-08-13T08:54:34.708807+00:00,motor_000,14.66,0,38.0,0.536,5.95,2134.0,59.25,0.59,0.0011
8,2026-08-13T08:54:35.783047+00:00,motor_000,14.16,0,43.3,0.529,6.03,2109.0,58.55,0.59,0.0012
9,2026-08-13T08:54:36.789893+00:00,motor_000,14.79,0,54.2,0.529,6.05,2137.0,59.5,0.52,0.0013
10,2026-08-13T08:54:37.826809+00:00,motor_000,15.32,0,40.9,0.569,5.92,2180.0,59.86,0.59,0.0014
11,2026-08-13T08:54:38.831763+00:00,motor_000,15.51,0,48.5,0.583,6.07,2208.0,59.59,0.65,0.0016
12,2026-08-13T08:54:39.837316+00:00,motor_000,15.45,0,46.7,0.572,6.03,2215.0,60.11,0.61,0.0017
13,2026-08-13T08:54:40.843444+00:00,motor_000,15.49,0,39.9,0.584,6.02,2203.0,60.38,0.62,0.0019
14,2026-08-13T08:54:41.893874+00:00,motor_000,15.64,0,43.0,0.583,5.99,2197.0,60.28,0.56,0.002
15,2026-08-13T08:54:42.919969+00:00,motor_000,15.21,0,41.1,0.561,6.01,2186.0,59.46,0.62,0.0021
16,2026-08-13T08:54:43.935831+00:00,motor_000,14.97,0,45.2,0.555,6.0,2152.0,58.79,0.56,0.0023
17,2026-08-13T08:54:44.986188+00:00,motor_000,15.51,0,45.8,0.572,6.01,2198.0,60.09,0.63,0.0024
18,2026-08-13T08:54:46.000186+00:00,motor_000,15.41,0,42.8,0.561,6.05,2181.0,59.01,0.57,0.0025
19,2026-08-13T08:54:47.015426+00:00,motor_000,15.94,0,40.7,0.585,6.05,2166.0,60.85,0.55,0.0027
