,time,device_id,current,failure,humidity,load,pressure,rpm,temperature,vibration,wear
0,2026-08-15T12:40:02.862800+00:00,motor_000,14.58,0,43.7,0.542,6.01,2146.0,59.64,0.55,0.0001
1,2026-08-15T12:40:04.188077+00:00,motor_000,14.71,0,39.0,0.543,6.04,2142.0,58.45,0.66,0.0003
2,2026-08-15T12:40:05.202272+00:00,motor_000,15.09,0,47.6,0.553,5.99,2190.0,58.83,0.57,0.0004
3,2026-08-15T12:40:06.220667+00:00,motor_000,15.05,0,45.9,0.534,6.12,2122.0,57.48,0.57,0.0005
4,2026-08-15T12:40:07.225393+00:00,motor_000,14.42,0,46.0,0.539,5.97,2128.0,57.0,0.54,0.0007
5,2026-08-15T12:40:08.229824+00:00,motor_000,15.43,0,45.6,0.566,6.03,2162.0,60.09,0.52,0.0008
6,2026-08-15T12:40:09.245152+00:00,motor_000,15.12,0,46.9,0.58,5.99,2181.0,60.38,0.68,0.0009
7,2026-08-15T12:40:10.251481+00:00,motor_000,15.98,0,51.2,0.572,5.89,2159.0,59.22,0.59,0.0011
8,2026-08-15T12:40:11.260178+00:00,motor_000,14.68,0,45.8,0.592,6.01,2227.0,59.91,0.55,0.0012
9,2026-08-15T12:40:12.277918+00:00,motor_000,15.9,0,47.2,0.598,6.0,2207.0,62.25,0.54,0.0013
10,2026-08-15T12:40:13.295191+00:00,motor_000,15.88,0,50.5,0.636,6.0,2257.0,60.25,0.6,0.0015
11,2026-08-15T12:40:14.309697+00:00,motor_000,16.25,0,48.6,0.623,6.06,2243.0,60.99,0.73,0.0016
12,2026-08-15T12:40:15.316974+00:00,motor_000,16.04,0,49.2,0.634,6.0,2267.0,61.27,0.62,0.0018
13,2026-08-15T12:40:16.321163+00:00,motor_000,16.58,0,43.8,0.628,6.0,2280.0,61.77,0.59,0.0019
14,2026-08-15T12:40:17.339280+00:00,motor_000,16.35,0,45.9,0.647,6.04,2291.0,63.96,0.65,0.0021
15,2026-08-15T12:40:18.346530+00:00,motor_000,15.64,0,43.5,0.631,6.01,2288.0,60.88,0.74,0.0022
16,2026-08-15T12:40:19.350712+00:00,motor_000,16.35,0,53.2,0.634,6.03,2272.0,61.24,0.62,0.0024
17,2026-08-15T12:40:20.368485+00:00,motor_000,16.52,0,49.7,0.641,5.98,2215.0,63.27,0.69,0.0025
18,2026-08-15T12:40:21.385705+00:00,motor_000,16.96,0,39.2,0.674,6.01,2307.0,64.41,0.59,0.0027
19,2026-08-15T12:40:22.403345+00:00,motor_000,16.8,0,47.1,0.649,6.03,2265.0,61.01,0.54,0.0028
20,2026-08-15T12:40:23.409908+00:00,motor_000,17.61,0,39.8,0.656,6.05,2271.0,62.84,0.66,0.003
21,2026-08-15T12:40:24.426093+00:00,motor_000,17.11,0,38.2,0.659,5.99,2299.0,63.05,0.66,0.0031
22,2026-08-15T12:40:25.443658+00:00,motor_000,16.53,0,43.3,0.646,5.97,2262.0,61.67,0.58,0.0032
23,2026-08-15T12:40:26.460357+00:00,motor_000,16.28,0,54.1,0.644,6.06,2281.0,63.18,0.56,0.0034
24,2026-08-15T12:40:27.469738+00:00,motor_000,16.26,0,47.5,0.623,6.0,2264.0,62.87,0.65,0.0035
25,2026-08-15T12:40:28.474053+00:00,motor_000,15.93,0,45.9,0.587,5.99,2205.0,60.9,0.58,0.0037
26,2026-08-15T12:40:29.490886+00:00,motor_000,16.63,0,43.3,0.615,6.0,2242.0,60.99,0.65,0.0038
27,2026-08-15T12:40:30.498731+00:00,motor_000,15.99,0,46.7,0.598,6.01,2253.0,60.21,0.6,0.004
28,2026-08-15T12:40:31.503822+00:00,motor_000,15.72,0,48.1,0.577,5.94,2174.0,59.85,0.55,0.0041
29,2026-08-15T12:40:32.513575+00:00,motor_000,15.25,0,38.1,0.58,5.97,2176.0,61.11,0.6,0.0042
30,2026-08-15T12:40:33.517810+00:00,motor_000,14.56,0,54.0,0.574,5.99,2179.0,58.44,0.62,0.0044
31,2026-08-15T12:40:34.534076+00:00,motor_000,15.88,0,54.3,0.577,5.91,2199.0,59.56,0.58,0.0045
32,2026-08-15T12:40:35.550925+00:00,motor_000,15.94,0,40.1,0.595,5.97,2207.0,59.62,0.57,0.0046
33,2026-08-15T12:40:36.569204+00:00,motor_000,15.76,0,43.3,0.602,6.08,2197.0,60.36,0.65,0.0048
34,2026-08-15T12:40:37.577133+00:00,motor_000,16.13,0,49.9,0.599,5.97,2253.0,61.28,0.65,0.0049
35,2026-08-15T12:40:38.585399+00:00,motor_000,15.79,0,44.8,0.592,5.89,2195.0,60.95,0.54,0.0051
36,2026-08-15T12:40:39.603222+00:00,motor_000,15.82,0,46.4,0.585,6.01,2172.0,62.04,0.52,0.0052
37,2026-08-15T12:40:40.622309+00:00,motor_000,15.17,0,48.1,0.548,6.08,2165.0,58.76,0.53,0.0053
38,2026-08-15T12:40:41.630923+00:00,motor_000,15.11,0,41.5,0.526,5.97,2147.0,58.99,0.53,0.0055
39,2026-08-15T12:40:42.640260+00:00,motor_000,15.02,0,45.9,0.561,5.99,2194.0,58.99,0.64,0.0056
40,2026-08-15T12:40:43.649027+00:00,motor_000,16.21,0,44.8,0.593,6.02,2227.0,61.18,0.57,0.0057
41,2026-08-15T12:40:44.656714+00:00,motor_000,17.15,0,37.9,0.612,6.05,2219.0,61.67,0.67,0.0059
