iter	Passed	Remaining
0	148	73936
1	159	39790
2	171	28450
3	182	22676
4	194	19215
5	205	16912
6	219	15424
7	231	14214
8	243	13292
9	308	15129
10	324	14443
11	338	13776
12	349	13103
13	360	12499
14	372	12052
15	381	11545
16	391	11112
17	400	10734
18	410	10394
19	421	10115
20	430	9816
21	437	9511
22	447	9280
23	455	9025
24	462	8793
25	470	8576
26	478	8390
27	487	8211
28	494	8027
29	499	7827
30	506	7660
31	512	7488
32	518	7330
33	523	7169
34	528	7020
35	533	6874
36	538	6738
37	544	6620
38	551	6514
39	559	6431
40	566	6342
41	573	6248
42	579	6156
43	585	6064
44	591	5981
45	597	5898
46	603	5819
47	609	5743
48	615	5667
49	620	5586
50	629	5538
51	635	5476
52	643	5423
53	648	5359
54	655	5303
55	661	5245
56	667	5184
57	673	5130
58	679	5075
59	685	5023
60	691	4979
61	698	4933
62	706	4898
63	713	4863
64	721	4825
65	727	4780
66	732	4736
67	738	4694
68	744	4653
69	750	4610
70	756	4571
71	762	4533
72	770	4507
73	778	4479
74	785	4450
75	791	4413
76	796	4376
77	802	4342
78	808	4311
79	815	4280
80	821	4249
81	828	4222
82	834	4194
83	840	4164
84	847	4135
85	853	4109
86	860	4085
87	867	4059
88	873	4031
89	878	4003
90	886	3984
91	893	3961
92	899	3938
93	906	3913
94	912	3889
95	919	3869
96	925	3846
97	931	3823
98	937	3798
99	944	3776
100	950	3754
101	956	3733
102	964	3717
103	971	3698
104	978	3679
105	984	3660
106	989	3635
107	995	3613
108	1001	3592
109	1006	3568
110	1013	3550
111	1019	3531
112	1025	3510
113	1031	3491
114	1036	3470
115	1042	3450
116	1048	3431
117	1054	3413
118	1060	3396
119	1066	3378
120	1073	3361
121	1079	3345
122	1084	3323
123	1090	3306
124	1096	3290
125	1102	3272
126	1107	3253
127	1116	3244
128	1123	3230
129	1129	3214
130	1135	3199
131	1141	3183
132	1147	3167
133	1152	3148
134	1159	3134
135	1165	3118
136	1170	3102
137	1179	3093
138	1186	3081
139	1192	3066
140	1198	3051
141	1205	3038
142	1211	3023
143	1217	3008
144	1223	2995
145	1229	2981
146	1235	2966
147	1241	2953
148	1247	2938
149	1253	2924
150	1259	2910
151	1265	2897
152	1271	2883
153	1278	2871
154	1284	2858
155	1290	2845
156	1295	2831
157	1301	2817
158	1307	2804
159	1313	2790
160	1318	2775
161	1324	2762
162	1329	2749
163	1335	2737
164	1342	2725
165	1348	2713
166	1355	2701
167	1360	2689
168	1367	2678
169	1374	2667
170	1380	2657
171	1386	2643
172	1392	2631
173	1398	2620
174	1404	2608
175	1410	2596
176	1416	2585
177	1422	2573
178	1428	2561
179	1434	2551
180	1440	2539
181	1447	2528
182	1453	2517
183	1459	2506
184	1465	2495
185	1472	2485
186	1478	2474
187	1484	2464
188	1491	2453
189	1497	2443
190	1503	2432
191	1509	2421
192	1515	2411
193	1521	2400
194	1527	2389
195	1533	2378
196	1539	2368
197	1545	2356
198	1550	2345
199	1556	2334
200	1561	2322
201	1568	2314
202	1577	2307
203	1584	2299
204	1589	2287
205	1596	2278
206	1604	2270
207	1610	2260
208	1616	2250
209	1622	2240
210	1627	2229
211	1633	2219
212	1639	2209
213	1644	2197
214	1649	2186
215	1655	2176
216	1659	2164
217	1665	2154
218	1671	2145
219	1677	2134
220	1682	2123
221	1687	2113
222	1693	2103
223	1699	2094
224	1704	2083
225	1710	2073
226	1716	2063
227	1721	2054
228	1727	2044
229	1732	2033
230	1738	2024
231	1742	2013
232	1747	2002
233	1752	1992
234	1757	1982
235	1763	1972
236	1768	1962
237	1774	1953
238	1779	1943
239	1786	1935
240	1793	1927
241	1799	1918
242	1805	1909
243	1811	1900
244	1816	1890
245	1822	1881
246	1828	1873
247	1834	1864
248	1840	1855
249	1845	1845
250	1851	1837
251	1857	1827
252	1861	1817
253	1867	1808
254	1872	1799
255	1877	1789
256	1882	1779
257	1886	1769
258	1892	1760
259	1898	1752
260	1902	1741
261	1906	1731
262	1911	1722
263	1917	1714
264	1923	1705
265	1929	1697
266	1935	1688
267	1940	1679
268	1946	1671
269	1952	1662
270	1958	1654
271	1963	1646
272	1969	1637
273	1975	1629
274	1981	1621
275	1987	1613
276	1993	1605
277	2000	1597
278	2007	1589
279	2012	1581
280	2018	1573
281	2024	1565
282	2030	1557
283	2036	1548
284	2042	1540
285	2047	1532
286	2053	1524
287	2059	1515
288	2065	1507
289	2071	1500
290	2077	1492
291	2085	1485
292	2092	1478
293	2098	1470
294	2104	1462
295	2110	1454
296	2116	1446
297	2122	1438
298	2128	1430
299	2133	1422
300	2139	1414
301	2145	1406
302	2150	1398
303	2156	1390
304	2162	1382
305	2168	1374
306	2173	1366
307	2179	1358
308	2185	1350
309	2191	1343
310	2197	1335
311	2202	1327
312	2211	1321
313	2219	1314
314	2226	1307
315	2234	1300
316	2242	1294
317	2250	1287
318	2257	1281
319	2264	1273
320	2272	1267
321	2279	1260
322	2286	1252
323	2293	1245
324	2300	1238
325	2308	1232
326	2315	1225
327	2323	1218
328	2331	1211
329	2339	1205
330	2346	1198
331	2354	1191
332	2361	1184
333	2369	1177
334	2376	1170
335	2383	1163
336	2390	1156
337	2397	1148
338	2405	1142
339	2411	1134
340	2418	1127
341	2423	1119
342	2431	1112
343	2437	1105
344	2445	1098
345	2452	1091
346	2458	1084
347	2464	1076
348	2470	1068
349	2476	1061
350	2482	1053
351	2488	1046
352	2494	1038
353	2499	1031
354	2505	1023
355	2511	1015
356	2517	1008
357	2523	1000
358	2529	993
359	2535	985
360	2541	978
361	2547	971
362	2553	963
363	2558	956
364	2564	948
365	2571	941
366	2576	933
367	2584	926
368	2589	919
369	2596	912
370	2603	905
371	2610	898
372	2614	890
373	2619	882
374	2624	874
375	2628	866
376	2634	859
377	2640	852
378	2646	844
379	2651	837
380	2656	829
381	2661	822
382	2666	814
383	2672	807
384	2677	799
385	2682	792
386	2688	784
387	2694	777
388	2698	770
389	2704	762
390	2710	755
391	2716	748
392	2722	741
393	2727	733
394	2732	726
395	2738	719
396	2743	711
397	2748	704
